,RA,DEC,ECLONG,ECLAT,V,Ks,TESSMAG,TEFF,RADIUS,MASS,CONTRATIO,SELECTED,tess_ccd,obs_len,isMdwarf,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,Ntransits,ars,ecc,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,nsectors
147836,72.96434,-74.20091999999998,298.997733,-80.529526,10.967,9.619000400000001,10.448,6175.0,0.96906501,1.1789665,0.013597005,True,4,356.2,False,0.0037011734756871033,253.23261438325596,2,7.922539126830985,41.703392158539785,108019,40.578970668804594,8.0,55.19055328659473,0.024794672715168425,0.07484621254268346,0.20124449400716227,0.2539707747027907,2.4688658515332453,5601.955531984547,5526.807502735811,13.0
147837,72.96434,-74.20091999999998,298.997733,-80.529526,10.967,9.619000400000001,10.448,6175.0,0.96906501,1.1789665,0.013597005,True,4,356.2,False,0.0037011734756871033,253.23261438325596,2,3.337768819127545,9.334934298141434,108019,5.928987729114264,38.0,20.346576094938555,0.10840482645608687,0.03153273848894067,0.07088958972108438,0.15035345696831087,1.8996007389026413,994.3135966119203,980.9752709479643,13.0
147874,301.21073,69.273033,27.216246,78.098708,10.226,8.6440001,9.5979996,6227.0,1.42206,1.2024618,0.0076074051,True,4,356.2,False,0.008704518390656557,167.27078630283762,1,1.5869840931377368,10.26765810017154,108062,0.5703933568009351,35.0,14.871554229578893,0.1387967889217273,0.010216755532590736,0.1437445412334573,0.2199289348698432,2.297453903101483,104.38209361272337,103.59401199752395,13.0
147946,98.685487,-47.956093,107.960153,-70.85432800000002,10.421,8.970999699999998,9.8950005,5813.0,1.14678,1.04549,0.0054951441,True,3,82.19999999999997,False,0.023186339326552785,192.13503179373402,1,2.0526488097155458,3.9402430109629534,108161,1.060009261758022,21.0,9.294901108657196,0.21767331033322976,0.016386752343907133,0.2522067427576515,0.13314357356077616,1.7875809815106636,268.52565238054586,267.0581294759988,3.0
148007,255.78452,-73.319702,263.679049,-50.19228,11.239,9.637000099999998,10.652999999999999,5604.0,1.06657,0.99106097,0.061278585,True,2,27.4,False,0.006599144757846953,282.1316289148991,2,3.089677658252302,8.972154736826988,108252,1.940992927796949,3.0,16.992013646851724,0.09697368923262628,0.02652052744901865,0.10045597762360868,0.17181123026810854,2.0306327896580916,703.3383761741518,662.7273800819713,1.0
148469,70.582785,-66.95661899999999,348.136349,-82.358845,11.059000000000001,9.321999499999999,10.425999999999998,5663.0,1.08877,1.0058348,0.021088891000000002,True,4,356.2,False,0.006793196411499225,250.35818570374528,2,3.2775660263262907,22.441563576282917,108875,13.751442615825106,16.0,30.82320059230901,0.08002029714355423,0.02755964709811732,0.21646895477778832,0.2328425392345735,2.363941822809894,759.5341481727663,743.8472349149927,13.0
148489,99.699551,-74.01354999999998,250.81004,-81.884658,11.35,9.5930004,10.72,5463.0,1.0132299999999999,0.95497054,0.009000249200000001,True,4,356.2,False,0.002145703479621952,292.467690798871,3,2.5403613774195293,9.20693834731336,108909,6.502845860704613,38.0,17.97359807444561,0.052510234060430025,0.02295333577793373,0.03873281679933965,0.16676696555065712,2.00060170279238,526.8556233345723,522.1560884175175,13.0
148490,99.699551,-74.01354999999998,250.81004,-81.884658,11.35,9.5930004,10.72,5463.0,1.0132299999999999,0.95497054,0.009000249200000001,True,4,356.2,False,0.002145703479621952,292.467690798871,3,3.1172996188828415,12.092151100930755,108909,3.491736957965983,30.0,21.55562300190668,0.011506076197332493,0.028166238673225638,0.045888877884840494,0.18348009378217506,2.0984571119687443,793.3370009971112,786.2604609127893,13.0
148491,99.699551,-74.01354999999998,250.81004,-81.884658,11.35,9.5930004,10.72,5463.0,1.0132299999999999,0.95497054,0.009000249200000001,True,4,356.2,False,0.002145703479621952,292.467690798871,3,1.892472090877088,17.747445764859318,108909,9.048284368523277,20.0,27.83868867463972,0.18349048204106025,0.01709935749235587,0.053195402573200636,0.2061594245809388,2.2243709650016856,292.38802665138667,289.77993502301973,13.0
148504,86.46427099999998,-75.28522499999998,275.87914700000005,-81.203135,9.845999699999998,8.7679996,9.472000099999999,6409.0,1.43225,1.2882112,0.025781943999999998,True,4,328.7999999999999,False,0.030918028951261056,158.06673196137496,1,2.2183078913874437,12.745478502549059,108924,1.8845393862052375,26.0,17.450874968759212,0.020366002890110663,0.014179513873731574,0.5501320548216406,0.19824964717289964,2.181282084497462,201.05861369534625,196.00521813761452,12.0
